"date","region_municipality_code","weeknumber","RNA_value","municipality_name","Security_region_name","sum_population","Total_reported","Hospital_admission","Deceased","population","reported_norm","hospital_norm","deceased_norm"
2020-10-19,"VR04","43",22482967304235.3,"IJsselland","IJsselland",255575502,1269,2,3,3719394,0.496526462853235,0.000782547616789969,0.00117382142518495
2020-10-19,"VR05","43",47526072803913,"Twente","Twente",303541784,3240,10,18,4417448,1.06739835198438,0.0032944393579765,0.00592999084435769
2020-10-19,"VR06","43",43586757805551.7,"Noord- en Oost-Gelderland","Noord- en Oost-Gelderland",398138611,1776,23,6,5794117,0.44607580147508,0.00577688256414799,0.00150701284282122
2020-10-19,"VR07","43",18861083981666.7,"Gelderland-Midden","Gelderland-Midden",335076625,2059,20,16,4876375,0.61448631339175,0.00596878400574794,0.00477502720459835
2020-10-19,"VR08","43",54960911325384.6,"Gelderland-Zuid","Gelderland-Zuid",270127676,1702,33,12,3931172,0.630072425455584,0.0122164453819238,0.00444234377524501
2020-10-19,"VR09","43",77810294866800,"Utrecht","Utrecht",651675154,5915,81,13,9483838,0.907660812859531,0.0124295056367915,0.00199485892936161
2020-10-19,"VR10","43",69741020510000,"Noord-Holland-Noord","Noord-Holland-Noord",318781788,1724,12,10,4639236,0.54080881182585,0.00376433047674606,0.00313694206395505
2020-10-19,"VR11","43",25306381407500,"Zaanstreek-Waterland","Zaanstreek-Waterland",163146542,1688,15,11,2374274,1.03465263762685,0.00919418813057037,0.00674240462908494
2020-10-19,"VR12","43",30054151669090.9,"Kennemerland","Kennemerland",264524507,1836,26,10,3849629,0.694075577655268,0.00982895698204628,0.0037803680700178
2020-10-19,"VR13","43",67348015149000,"Amsterdam-Amstelland","Amsterdam-Amstelland",934742692,5778,83,11,13603324,0.618138023378096,0.00887944893395326,0.00117679443702995
2020-10-19,"VR14","43",20398079651500,"Gooi en Vechtstreek","Gooi en Vechtstreek",123653075,940,6,1,1799525,0.760191366045689,0.00485228531518525,0.000808714219197541
2020-10-19,"VR15","43",60334097708000,"Haaglanden","Haaglanden",537291911,5139,61,29,7819217,0.956463310686246,0.0113532325261454,0.00539743841406911
2020-10-19,"VR16","43",83754924164583.3,"Hollands-Midden","Hollands-Midden",389061660,3652,46,14,5662020,0.938668693286303,0.0118233186996632,0.00359840134337575
2020-10-19,"VR17","43",84026262990476.2,"Rotterdam-Rijnmond","Rotterdam-Rijnmond",636571754,7221,80,47,9264038,1.134357588854,0.0125673185304417,0.00738329963663452
2020-10-19,"VR18","43",47353478200000,"Zuid-Holland-Zuid","Zuid-Holland-Zuid",220957451,2158,3,9,3215597,0.976658623745619,0.00135772746581875,0.00407318239745624
2020-10-19,"VR19","43",45742087841250,"Zeeland","Zeeland",184457728,470,5,2,2684416,0.254800926529898,0.00271064815457339,0.00108425926182936
2020-10-19,"VR20","43",54193994091250,"Midden- en West-Brabant","Midden- en West-Brabant",538280847,4248,52,26,7833609,0.789179110435635,0.00966038459102001,0.00483019229551001
2020-10-19,"VR21","43",78046082855714.3,"Brabant-Noord","Brabant-Noord",312114647,2316,17,11,4542209,0.742035025354001,0.00544671650734802,0.00352434597534284
